id,event_name,event_type,city,state,country,venue_or_area,application_deadline_iso,application_deadline_text,event_date_range_text,application_mode,postal_address,contact_name,contact_email,contact_phone,source_url,source_domain,source_kind,last_verified_at,agent_batch_id,confidence_status,notes
emop-berlin-2027-open-call,EMOP Berlin 2027,Fotofestival / Ausstellungsprogramm,Berlin,Berlin,DE,"Teilnehmende Berliner Museen, Ausstellungshäuser, Galerien und Projekträume",2026-08-16,Deadline for submissions: 16 August 2026.,Festival- und Ausstellungsprogramm im Kalenderjahr 2027; konkrete Einzeltermine sind im Open Call nicht abschliessend ausgewiesen.,Einreichung eines Ausstellungsprojekts über den offiziellen Open Call.,,EMOP Berlin,,,https://emop-berlin.eu/en/open-call/,emop-berlin.eu,official,2026-08-03,berlin-2027-deep-feste,partial,"Der offizielle Open Call richtet sich unter anderem an Museen, Ausstellungshäuser, Galerien und Projekträume mit einem Ausstellungsprojekt für EMOP Berlin 2027. | Teilnahmeberechtigt sind Berliner Institutionen und Galerien sowie Kunstschaffende mit einem Ausstellungsraum in Berlin."
stuhrer-weihnachtsmarkt-2026-stuhr,Stuhrer Weihnachtsmarkt 2026,Weihnachtsmarkt,Stuhr,Niedersachsen,DE,Rund um das Rathaus,2026-08-17,Bewerbungsschluss ist der 17. August 2026.,12. und 13. Dezember 2026,"Bewerbung per E-Mail an kultur@stuhr.de oder postalisch, mit Fotos der geplanten Angebote.","Gemeinde Stuhr, Stabsstelle Öffentlichkeitsarbeit & Kultur, Blockener Straße 6, 28816 Stuhr","Frauke Wulf (Rathaus, 0421 5695-246) und Nils Hinternesch (Aussenbereich, 0172 1561064)",kultur@stuhr.de,0421 5695-246,https://www.stuhr.de/portal/meldungen/stuhrer-weihnachtsmarkt-2026-jetzt-fuer-einen-standplatz-bewerben--900005153-21780.html,stuhr.de,official,2026-08-03,de-2026-08-breitensuche-01,verified,Standplätze im Rathaus und im Aussenbereich. Bewerbende erhalten im September Bescheid.
frankenthaler-weihnachtsmarkt-2026-frankenthal,Frankenthaler Weihnachtsmarkt 2026,Weihnachtsmarkt,Frankenthal (Pfalz),Rheinland-Pfalz,DE,Rathausplatz,2026-08-23,23.08.2026,23.11.-29.12.2026,Online über das Bewerbungsformular der Stadt,,Stadt Frankenthal (Pfalz),STV-Frankenthal@poststelle.rlp.de,,https://www.frankenthal.de/stadt-frankenthal/de/kultur/veranstaltungen/weihnachtsmarkt/bewerbung-weihnachtsmarkt/,frankenthal.de,official,2026-08-03,research-2026-08-03-rp-sl,partial,"Die offizielle Bewerbungsseite bestätigt Veranstaltung, Zielgruppen aus Handel, Kunsthandwerk und Gastronomie sowie die offene Frist. Eine Kontaktadresse wird dort nicht ausgeschrieben. Kontaktdaten im August 2026 aus der offiziellen Quelle ergaenzt."
weihnachtsgarten-dfg-2026-saarbruecken,Weihnachtsgarten im Deutsch-Französischen Garten 2026,Weihnachtsmarkt,Saarbrücken,Saarland,DE,Deutsch-Französischer Garten,2026-08-24,24.08.2026,27.11.-29.11.2026,Online über das offizielle Standbetreiberformular,"Deutsch-Französischer Garten, Deutschmühlental, 66117 Saarbrücken",Anne Kaib / Simone Schmidt,weihnachtsgarten@saarbruecken.de,0681 905-1289 / 0681 905-1255,https://www.saarbruecken.de/leben_in_saarbruecken/freizeit/deutsch_franzoesischer_garten/weihnachtsgarten_dfg/standbetreiberanmeldung_weihnachtsgarten,saarbruecken.de,official,2026-08-03,research-2026-08-03-rp-sl,partial,"Das offizielle Formular umfasst Gastronomie, Getränke, Süßwaren und Warenverkaufsstände. Eine Postanschrift ist auf der Bewerbungsseite nicht angegeben. | Offizielle Ausschreibung und aktives Anmeldeformular der Landeshauptstadt."
dorffestflohmarkt-2026-flintbek,Dorffestflohmarkt Flintbek 2026,Dorffest / Flohmarkt,Flintbek,Schleswig-Holstein,DE,Dorfstraße,2026-08-25,Standanmeldungen sind bis zum 25.08.2026 einzureichen.,"13.09.2026, 11:00-16:00 Uhr",Anmeldeformular per E-Mail oder Post einreichen,"Amt Eidertal, Der Amtsdirektor, Heitmannskamp 2, 24220 Flintbek",Frau Salehi,kultur@amt-eidertal.de,,https://www.amt-eidertal.de/news/1/1257884/nachrichten/anmeldung-dorffestflohmarkt-2026.html,amt-eidertal.de,official,2026-08-03,research-2026-08-03-sh,verified,"Die offizielle Meldung nennt Frist und Veranstaltungstag; das verlinkte amtliche Formular bestätigt Dorfstraße, Flintbek und die Veranstaltungszeit."
biocap-2027-aussteller-early-bird-berlin,bio:cap 2027 - Ausstellende Early Bird,Fachkongress und Ausstellung für Biotechnologie,Berlin,Berlin,DE,CityCube Berlin,2026-08-28,Registrierung bis 28. August 2026 für 10 Prozent Early-Bird-Rabatt auf die Standflächenmiete,29.06.-30.06.2027,Online-Standanmeldung im offiziellen Ausstellerportal,"Messe Berlin GmbH, Messedamm 22, 14055 Berlin",bio:cap Exhibitor Service,exhibit@biocap-europe.com,+49 30 3038 5908,https://asp.biocap-europe.com/en/homepage/,asp.biocap-europe.com,official,2026-08-03,berlin-2027-deep-messen,partial,"Dies ist eine verbindlich datierte Preisfrist, kein veröffentlichter finaler Anmeldeschluss. Sie gilt laut Portal nicht für START:UP- und CO:MMUNITY-Pakete."
emop-gallery-concept-award-2027-berlin,EMOP Gallery Concept Award 2026/27,Galeriepreis / Ausstellungsbewerbung,Berlin,Berlin,DE,Ausgewählte kommerzielle Galerien in Berlin,2026-08-28,"Call closes August 28, 2026, at 11:59 pm",Ausstellung im Rahmen des EMOP Berlin vom 04.03.-04.04.2027,Digitale Bewerbung über das offizielle Typeform,,EMOP Berlin,emop.berlin@kulturprojekte.berlin,+49 30 24749 875,https://emop-berlin.eu/en/emop-gallery-concept-award/,emop-berlin.eu,official,2026-08-03,berlin-2027-deep-messen,partial,"Teilnahmeberechtigt sind kommerziell tätige Berliner Galerien, die seit mindestens drei Jahren bestehen; prämiert werden zehn Ausstellungskonzepte."
nacht-der-schloesser-2026-glauchau,Nacht der Schlösser 2026,Kulturfest / Themenmarkt,Glauchau,Sachsen,DE,Schloss Glauchau,2026-08-28,28.08.2026,29.08.2026,Online über das Beteiligungsportal Sachsen,"Stadt Glauchau, Kulturverwaltung, Markt 1, 08371 Glauchau",Kulturverwaltung Stadt Glauchau,kultur@glauchau.de,03763 65 416,https://buergerbeteiligung.sachsen.de/portal/glauchau/beteiligung/themen/1061948,buergerbeteiligung.sachsen.de,official,2026-08-03,research-2026-08-03-sn-st-th,verified,Zugelassen werden nur zum mittelalterlichen Veranstaltungsmotto passende Stände.
neunkircher-weihnachtsmarkt-zoo-2026-neunkirchen,Neunkircher Weihnachtsmarkt im Zoo 2026,Weihnachtsmarkt,Neunkirchen,Saarland,DE,Neunkircher Zoo,2026-08-28,"Die Bewerbungsfrist endet am Freitag, 28. August 2026",17.12.-20.12.2026,Bewerbung per E-Mail beim offiziellen Organisationsteam,"Kreisstadt Neunkirchen, Oberer Markt 16, 66538 Neunkirchen",Organisationsteam Weihnachtsmarkt im Zoo,info@nk-zoo-weihnachtsmarkt.de,,https://www.neunkirchen.de/index.php?id=85&tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=7536,neunkirchen.de,official,2026-08-03,research-2026-08-03-de-gap,verified,"Gesucht werden Aussteller, Vereine, Schulen und Privatpersonen."
neunkircher-weihnachtsmarkt-im-zoo-2026-neunkirchen,Neunkircher Weihnachtsmarkt im Zoo 2026,Weihnachtsmarkt,Neunkirchen (Saar),Saarland,DE,Neunkircher Zoo,2026-08-28,28.08.2026,17.12.-20.12.2026,Bewerbung per E-Mail mit Beschreibung des Angebots,,Organisationsteam Weihnachtsmarkt im Zoo,info@nk-zoo-weihnachtsmarkt.de,,https://www.neunkirchen.de/index.php?L=556&cHash=649e5b8fb850e928aaf79cc4565daa30&id=85&tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=7536,neunkirchen.de,official,2026-08-03,research-2026-08-03-rp-sl,partial,"Die offizielle Stadtmeldung richtet sich an Aussteller, Vereine, Schulen und Privatpersonen. Postanschrift und Telefonnummer sind dort nicht angegeben."
bad-wurzach-weihnachtsmarkt-2026-bad-wurzach,Bad Wurzacher Weihnachtsmarkt 2026,Weihnachtsmarkt / Künstlermarkt,Bad Wurzach,Baden-Württemberg,DE,Klosterplatz und Maria Rosengarten,2026-08-30,Die Anmeldefrist endet am 30. August 2026.,28. und 29. November 2026,"Online-Bewerbung über die Homepage der Stadt Bad Wurzach, für Innen- und Aussenbereich getrennt möglich.","Bad Wurzach Info, Rosengarten 1, 88410 Bad Wurzach/Allgaeu",Bad Wurzach Info,,07564 302150,https://www.bad-wurzach.de/stadt/de/freizeit-kultur/veranstaltungen-termine/weihnachtsmarkt,bad-wurzach.de,official,2026-08-03,de-2026-08-breitensuche-01,verified,Bewerbung für den Künstlermarkt in Maria Rosengarten oder für Stände im Aussenbereich. Neue Weihnachtsmarktsatzung und Preisstaffelung stehen zum Download bereit.
motorradwelt-bodensee-2027-friedrichshafen,MOTORRADWELT BODENSEE 2027,Fach- und Publikumsmesse,Friedrichshafen,Baden-Württemberg,DE,Messe Friedrichshafen,2026-08-30,Anmeldung zur Berücksichtigung des gewünschten Standplatzes bis 30.08.2026 erbeten,29.01.-31.01.2027,Online-Standanmeldung über das offizielle Ausstellerportal,"Messe Friedrichshafen GmbH, Neue Messe 1, 88046 Friedrichshafen",Korinna Rid,,+49 7541 708-352,https://www.motorradwelt-bodensee.de/ausstellen/messevorbereitung,motorradwelt-bodensee.de,official,2026-08-03,bw-2027-deep-rb-tuebingen,verified,Die offizielle Aussteller-Zeitplanung bestätigt Veranstaltungstermin und noch offene Anmeldefrist. Der Frühbuchertermin 30.06.2026 war bereits abgelaufen und wurde nicht als Frist verwendet.
artspring-pop-up-store-ausstellungen-2027-berlin,artspring Pop Up Store 2026/27 - Ausstellungskonzepte 2027,Ausstellungs-Open-Call,Berlin,Berlin,DE,artspring Pop Up Store im Rathaus-Center Pankow,2026-08-31,Bewerbungsschluss: 31. August 2026,"Ausstellungszeiträume im Februar, April, Juni, Juli, August, September und Oktober 2027; jeweils drei Wochen zuzüglich Auf- und Abbau",Digitale Bewerbung über das offizielle Formular,,Ateliergemeinschaft Milchhof e.V. / artspring berlin,,,https://www.artspring.berlin/open-call-fuer-ein-ausstellungskonzept-pop-up-store-26-27/,artspring.berlin,official,2026-08-03,berlin-2027-deep-messen,partial,Der offizielle Text nennt neben dem eindeutigen Datum einen dazu widersprüchlichen Wochentag; übernommen wurde das ausdrücklich angegebene Kalenderdatum. Bewerben können sich Berliner Kunstschaffende.
braunschweiger-weihnachtsmarkt-wechselhuette-2026-braunschweig,Braunschweiger Weihnachtsmarkt 2026 - Wechselhütte,Weihnachtsmarkt / Kunsthandwerk,Braunschweig,Niedersachsen,DE,Braunschweiger Weihnachtsmarkt rund um Burgplatz und Dom,2026-08-31,Bewerbungsschluss ist der 31. August 2026.,25. November bis 23. Dezember 2026; die Wechselhütte wird wochenweise jeweils von Mittwoch bis Dienstag vergeben.,Formlose Bewerbung per E-Mail an bewerbung.weihnachtsmarkt@braunschweig.de oder über www.braunschweig.de/wm-bewerben.,"Braunschweig Stadtmarketing GmbH, Sack 17, 38100 Braunschweig",Kim Zimpel (0531 470-3242) und Angela Schueler (0531 470-2057),bewerbung.weihnachtsmarkt@braunschweig.de,0531 470-3242,https://www.braunschweig.de/politik_verwaltung/nachrichten/bsm/WM-Wechselhuette.php,braunschweig.de,official,2026-08-03,ni-2027-deep-mitte-ost,verified,"Einstiegsformat für Kunsthandwerkerinnen und Kunsthandwerker, die sich nicht für die gesamte Marktdauer binden wollen. Der regulaere Bewerbungszeitraum für den Weihnachtsmarkt 2026 ist bereits beendet, die Wechselhütte ist zum Stichtag noch offen. Der Markt zieht rund 900.000 Besucher an."
christmas-feeling-frankfurt-2026,Christmas Feeling Frankfurt 2026,Weihnachtsmarkt / Kunsthandwerksmarkt,Frankfurt am Main,Hessen,DE,"Schlossgarde Village, Silostraße 50a",2026-08-31,Anmeldeschluss ist der 31. August 2026.,14. bis 15. November 2026,Online-Bewerbungsformular,"Hoechster Schlossgarde 1956 e.V., Silostraße 50a, 65929 Frankfurt am Main",Hoechster Schlossgarde 1956 e.V.,info@christmas-feeling.de,,https://christmas-feeling.de/,christmas-feeling.de,official,2026-08-03,research-2026-08-03-gap-maerkte,verified,"Gesucht werden handgemachte Produkte, Kunsthandwerk, Geschenkideen und weihnachtliche Spezialitäten; Massen- und reine Handelsware sind ausgeschlossen."
erfurter-herbst-cerealienmarkt-2026-erfurt,Erfurter Herbst- und Cerealienmarkt 2026,Herbstmarkt / Traditionsmarkt,Erfurt,Thüringen,DE,Erfurter Innenstadt,2026-08-31,Bewerbungen sind formlos bis zum 31. August möglich.,Herbst 2026; der genaue Zeitraum ist im Bewerbungsaufruf nicht genannt.,"Formlose Bewerbung, postalisch an die Kulturdirektion der Stadt Erfurt.","Stadtverwaltung Erfurt, Kulturdirektion, Benediktsplatz 1, 99084 Erfurt",Kulturdirektion der Landeshauptstadt Erfurt,,,https://www.erfurt.de/ef/de/service/aktuelles/pm/2026/153614.html,erfurt.de,official,2026-08-03,nord-ost-2027-deep-vertiefung,partial,"Aus dem staedtischen Sammelaufruf 'Erfurt feiert: Jetzt noch für die beliebtesten Feste bewerben'. Von den fuenf dort genannten Erfurter Veranstaltungen ist dies die einzige, deren Frist zum Stichtag 03.08.2026 noch offen ist. Gesucht werden Händler, Gastronomie, Schausteller sowie Kunst- und Kreativschaffende, bevorzugt mit Direktherstellung am Stand und regionalen oder zertifizierten Bio-Produkten."
hofheimer-adventsmarkt-2026-hofheim,Hofheimer Adventsmarkt 2026,Adventsmarkt,Hofheim am Taunus,Hessen,DE,Platz Am Untertor und Turmzeile,2026-08-31,Bewerbung bis 31.08.2026,05.12.-06.12.2026,Ausgefülltes Bewerbungsformular per E-Mail oder Post,"Magistrat der Stadt Hofheim am Taunus, Chinonplatz 2, 65719 Hofheim am Taunus",Marktwesen der Stadt Hofheim am Taunus,marktwesen@hofheim.de,06192 202-263 / 06192 202-255,https://www.hofheim.de/kultur-sport-und-tourismus/maerkte-und-messen/,hofheim.de,official,2026-08-03,research-2026-08-03-bw-he,verified,"Offen für Vereine, Privatleute, Kunsthandwerk, Gastronomie und Gewerbetreibende."
ingolstaedter-kunsthandwerkermarkt-christkindlmarkt-2026-ingolstadt,Kunsthandwerkermarkt im Rahmen des Ingolstädter Christkindlmarktes 2026,Kunsthandwerkermarkt / Weihnachtsmarkt,Ingolstadt,Bayern,DE,Theaterplatz,2026-08-31,31. August 2026,"20.11.-20.12.2026, jeweils an den Wochenenden",Online-Formular; für eine Verkaufshütte am Christkindlmarkt alternativ per E-Mail,"Kulturamt Ingolstadt, Sachgebiet Feste und Märkte, Donaustraße 11, 85049 Ingolstadt","Kulturamt Ingolstadt, Sachgebiet Feste und Märkte",festeundmaerkte@ingolstadt.de,,https://formularcenter.ingolstadt.de/formcycle/form/provide/5252/,formularcenter.ingolstadt.de,official,2026-08-03,research-2026-08-03-bayern,verified,Die offizielle Formularseite nennt fünf auswählbare Veranstaltungswochenenden.
laser-world-of-photonics-2027-hauptaussteller-muenchen,LASER World of PHOTONICS 2027 - Hauptaussteller,Fachmesse,München,Bayern,DE,"Trade Fair Center Messe München, Am Messesee 2, 81829 München",2026-08-31,"Anmeldeschluss für die erste Hallenaufplanung: Montag, 31.08.2026",22.06.-25.06.2027,Online-Ausstelleranmeldung,"Messe München GmbH, Messegelände, 81823 München",LASER World of PHOTONICS Ausstellerservice,,+49 89 949-11518,https://world-of-photonics.com/de/messe/aussteller/anmeldung/,world-of-photonics.com,official,2026-08-03,by-2027-deep-rb-oberbayern,partial,Die offizielle Messeseite bezeichnet den 31.08.2026 als Anmeldeschluss für die erste Hallenaufplanung; spätere Anmeldemöglichkeiten werden dadurch nicht ausgeschlossen.
mainzer-fastnachtsmesse-2027-mainz,Mainzer Fastnachtsmesse und Rosenmontag 2027,Volksfest / Fastnachtsmesse,Mainz,Rheinland-Pfalz,DE,Mainzer Altstadt und Bereich des Rosenmontagsumzugs,2026-08-31,Bewerbungsfrist ist der 31. August für die Veranstaltung im Folgejahr,04.02.-09.02.2027; Rosenmontag am 08.02.2027,Aussagekräftige schriftliche Bewerbung mit dem offiziellen Bewerbungsformular,"Landeshauptstadt Mainz, Amt für Wirtschaft und Liegenschaften, Messen und Märkte, Postfach 3820, 55028 Mainz",Messen und Märkte der Landeshauptstadt Mainz,,06131 12-2283,https://www.mainz.de/vv/produkte/wirtschaft/fastnachtsmesse-und-rosenmontag-standplatz-buchen,mainz.de,official,2026-08-03,research-2026-08-03-de-gap,verified,"Die offizielle Stadtseite nennt Termin, wiederkehrende Frist, Bewerbungsweg und zuständige Marktverwaltung. | Die Stadt nennt Termin und jährlich geltende Frist ausdrücklich. Die E-Mail-Adressen werden auf der geprüften Seite nicht im Klartext ausgegeben."
mainzer-johannisnacht-festbereich-2027-mainz,Mainzer Johannisnacht 2027 - Festbereich,Stadtfest / Volksfest,Mainz,Rheinland-Pfalz,DE,"Adenauerufer, Kaisertor, Fischtorplatz, Markt, Ludwigsstraße und Schillerplatz",2026-08-31,Bewerbungsfrist ist der 31. August für die Veranstaltung im Folgejahr,25.06.-28.06.2027,Aussagekräftige schriftliche Bewerbung bei der städtischen Marktverwaltung,"Landeshauptstadt Mainz, Amt für Wirtschaft und Liegenschaften, Messen und Märkte, Postfach 3820, 55028 Mainz","Giulia Barba, Teamleitung Messen und Märkte",,06131 12-2483,https://www.mainz.de/vv/produkte/wirtschaft/johannisnacht-standplatz-im-festbereich-beantragen,mainz.de,official,2026-08-03,research-2026-08-03-de-gap,verified,"Die Bewerbung für den Festbereich ist von der gesonderten Bewerbung für den Künstlermarkt getrennt. | Die Stadt bestätigt Termin, Festbereich und Frist. Die E-Mail-Adressen werden auf der geprüften Seite nicht im Klartext ausgegeben."
